@relation TrainingsetAROUSALeVALENZA

@attribute Gender {m,f}
@attribute PitchMin numeric
@attribute PitchMed numeric
@attribute PitchMax numeric
@attribute PitchMinMaxDiffLog numeric
@attribute PitchMinLog numeric
@attribute PitchMedLog numeric
@attribute PitchMaxLog numeric
@attribute PitchDevSta numeric
@attribute PitchSlope numeric
@attribute EnergyMin numeric
@attribute EnergyMed numeric
@attribute EnergyMax numeric
@attribute EnergyMinMaxDiff numeric
@attribute EnergyDevSta numeric
@attribute SpectrumCentralMoment numeric
@attribute SpectrumDevSta numeric
@attribute SpectrumGravityCentre numeric
@attribute SpectrumKurtosis numeric
@attribute SpectrumSkewness numeric
@attribute HarmonicityDevSta numeric
@attribute HarmonicityMax numeric
@attribute HarmonicityMed numeric
@attribute HarmonicityMin numeric
@attribute Arousal {High,Medium,Low}
@attribute Valenza {VeryNeg,Neutral,Positive,Negative}

@data
m,95.89176,168.65456,224.63907,128.7478,95.89176,165.29007,224.63956,32.09654,352.94811,36.71068,62.0413,88.07961,51.368935,15.77141,1210716584.86139,715.18516,828.75615,32.62027,3.30969,3.60167,29.28124,7.49699,-226.10115,High,VeryNeg
m,95.99837,114.52199,163.79006,67.78474,96.00663,113.38489,163.79136,17.09556,175.35392,37.36711,58.28045,77.66485,40.297737,12.35807,2081295129.83492,629.37251,555.3593,155.37251,8.34854,5.48288,37.91558,10.00958,-226.45994,Medium,Neutral
m,141.41366,192.27015,250.69245,109.27893,141.41366,190.01288,250.6926,29.52115,261.7063,34.76572,61.95831,78.7638,43.99808,12.30972,2645495034.47348,774.09978,691.06342,51.86293,5.70317,6.02875,43.79768,14.39842,-226.07333,High,Positive
m,86.90781,101.53413,123.45136,36.54338,86.90798,101.1138,123.45136,9.44256,70.63117,37.07238,54.78763,67.5186,30.44622,8.99403,842592456.43177,442.72341,369.73301,240.9734,9.71002,4.97606,24.29167,13.18221,-225.99092,Low,Negative
m,90.70852,174.24669,244.00932,153.3099,90.70852,169.74503,244.01842,38.05843,335.00716,34.93158,59.47146,84.41595,49.484367,15.92842,7377035222.48954,1148.59695,824.72071,30.80988,4.86832,4.58338,34.75049,8.21946,-226.19078,High,VeryNeg
m,81.97382,117.35976,165.77733,83.801636,81.97569,115.85095,165.77733,18.92981,170.53715,36.88835,58.08704,73.02527,36.136917,10.47324,15196068064.56001,1728.49722,1039.07058,9.67436,2.94256,4.16455,34.50024,9.53462,-226.52075,Medium,Neutral
m,141.39144,195.58815,247.0719,105.68948,141.3922,192.97216,247.08168,32.05673,239.08634,36.72687,62.71249,77.2204,40.493526,12.95257,9673222939.44694,1354.0888,799.89985,17.00888,3.8961,5.26006,35.37537,12.69644,-226.1554,High,Positive
m,86.30708,127.7307,599.76864,513.44324,86.32537,119.2556,599.76864,74.30779,537.60617,37.07611,56.03406,67.49524,30.419128,9.4196,3399172605.50881,771.34254,439.14462,73.0698,7.40681,5.07066,33.97936,13.50408,-226.23975,Low,Negative
m,88.20071,182.41641,247.55453,159.35382,88.20071,175.04559,247.55453,48.26329,355.49263,36.13447,59.68434,82.57743,46.44296,13.51708,15712430736.59604,1693.23563,1281.05352,13.10354,3.23662,3.79892,35.82582,4.38806,-226.12014,High,VeryNeg
m,92.00051,132.36318,209.95146,117.94931,92.00215,128.14081,209.95146,34.46737,190.32044,36.83139,53.08048,72.9031,36.07171,11.78502,18543607559.6034,2049.82692,1294746,4.15573,2.15299,5.45703,35.60789,6.02593,-226.13449,Medium,Neutral
m,114.96727,214.19086,277.18232,163.99405,120.42804,209.71341,284.42209,41.22357,398.73211,37.25094,59.15967,73.16696,35.916023,11.24923,7266245860.39873,1221.52761,730.56572,17.96887,3.98658,4.73448,40.44096,11.40706,-226.75373,High,Positive
m,95.25422,117.40295,135.04695,39.792732,95.25422,117.00986,135.04695,9.56617,71.37883,37.52046,55.24892,67.53484,30.014385,9.57851,5625028268.19952,1012.72978,487.21461,36.28228,5.41557,6.30836,40.98055,13.1602,-226.86869,Low,Negative
m,138391,199.14396,234.51366,96.12578,138391,197.6822,234.51679,23.30969,408.62539,35.98119,59.97163,83.38942,47.40823,17.52173,1084773159.82058,653.97284,876.23856,44.8215,3.87846,4.46727,37.91893,6.36109,-225.18399,High,VeryNeg
m,89.06772,124.51531,160.67375,71.528435,89.14564,122.68733,160.67407,21.24033,165.31809,36.82146,56.02036,73.94827,37.126812,13.13965,2182797140.34906,613.46187,619.07793,177.49632,9.45476,4.48802,28.14314,9.09178,-225.48793,Medium,Neutral
m,169.76104,216.16177,261.53384,91.772964,169.76116,214.62031,261.53413,25.29752,194.46606,37.55509,61.86191,77.84405,40.288956,14.29968,2072584265.58261,684.72589,753.70919,75.83701,6.45598,4.34678,34.81014,14.58649,-226.63297,High,Positive
m,112.91333,129.69504,151.48416,38.57083,112.91333,129.36543,151.48416,9.2018,84.48198,37.98126,59.95948,72.81366,34.8324,12.09642,1379864362.74386,506.4828,519.77662,237.65074,10.62043,4.66293,32.95741,16.95365,-226.67462,Low,Negative
m,153.89483,205.52251,225.78541,71.89058,153.89483,204.7794,225.78541,17.08598,490.35757,34.50514,56.42415,82.82477,48.31963,16.20723,1653536199.59687,830.42044,892.85848,18.30393,2.88748,4.07995,28.36865,6.16568,-225.9389,High,VeryNeg
m,99.27018,154.16043,590.46838,491.19745,99.27093,139.75866,590.46838,103.93566,703.13603,36.34592,51.75276,69.75773,33.411808,11.44334,2038087178.89267,712.65671,549.89729,47.59955,5.63095,4.07665,26.75458,6.61569,-225.33232,Medium,Neutral
m,149.54034,224.70394,293.24631,143.70596,149.54034,221.66342,293.24631,36.52431,428.99372,36.04121,57.25225,76.38898,40.347767,14.80143,2436831443.7266,733.43798,615.24163,48.16853,6.1764,4.72678,35.63882,11.40907,-226.2923,High,Positive
m,114.89954,130.55406,143.57992,28.677414,114.90251,130.30392,143.57992,8.04998,115.73237,34.90513,53.27663,70.9132,36.00807,12.24473,1692712611.59543,600.60852,450.43334,92.96115,7.81284,6.16828,38.76103,13.86542,-226.54409,Low,Negative
m,97.8886,203.30045,243.36174,145.48434,97.8886,199.49673,243.37294,34.46805,418.56763,38.00494,61.27371,84.09001,46.08507,17.18819,833031364.61581,597.48931,703.82436,25.95867,3.90545,5.44682,27.01273,8.03137,-225.36092,High,VeryNeg
m,76.96055,128.60967,198.62255,121.66088,76.96192,125.48088,198.62281,29.52095,266.11531,37.69408,52.43529,73.88123,36.187153,12.18027,1469567567.13961,610.39589,620.91443,65.86211,6.46182,4.67847,32.75734,8.28343,-225.96936,Medium,Neutral
m,141.75058,210.68355,248.4912,106.73906,141.75213,208.32297,248.4912,29.95333,273.71744,37.93039,59.82885,78.03488,40.104492,14.36761,1254161073.75155,575.73232,619.62999,64.73183,6.57191,4.72728,21.52561,11.50329,-225712,High,Positive
m,98.21537,110.21497,122.45026,24.231812,98.21978,110.03623,122.45159,6.26763,56.43073,35.7093,54.46553,67.10281,31.393513,10.00838,518945967.37126,339.79155,293.90149,389.77076,13.2277,4.94307,24.28614,14.23365,-225.64044,Low,Negative
m,104.86195,192.65495,226.80861,121.94777,104.86195,190.07142,226.80973,28.76668,357.35742,37.96621,63.06068,85.22229,47.25608,15.05401,4480069204.25986,1011.77259,922.08393,27.00013,4.3255,4.92977,30.30009,6.49494,-226.20797,High,VeryNeg
m,87.47136,138.32609,550.77998,463.31036,87.47314,126.5194,550.78351,88.60045,693.40646,36.81154,54.89147,72.56255,35.751015,10.39436,5158393138.32672,1041.4158,705.70515,26.82695,4.56712,4.4901,34.25975,7.84379,-226.12383,Medium,Neutral
m,136.4146,194.63447,246.31954,109.906845,136.4146,192.5076,246.32144,28.30789,227.89881,37.40911,58.64209,77.78602,40.376907,14.32146,3403439852.54475,833.71864,669.3788,45.71084,5.87299,5.62536,23.91784,12.58962,-225.82459,High,Positive
m,99.68598,122.34236,584.71083,485.02484,99.68598,120.31734,584.71083,37.98936,348.70142,38.16671,60.83692,68.5668,30.400093,7.42792,1129498579.18824,473.61012,303.20465,170.97615,10.63219,5.94544,35.37779,14.2082,-226.40607,Low,Negative
m,80.26783,147.56506,190.34423,110.0831,80.26787,142.6827,190.35097,36.19292,307.33541,37.78164,56.1831,78.28956,40.50792,14.39739,1351256539.90461,642.94556,756.66173,56.53424,5.08411,5.13059,29.30533,4.40826,-225.6739,High,VeryNeg
m,86.06011,116013,141.73284,55.673187,86.06012,114.34725,141.73331,19.22666,159.89541,37.95745,53.55911,74.67035,36.7129,12.06186,1039413290.74559,588.36212,664.57862,59.53277,5.10334,5.20333,34.86958,7.15638,-226.5619,Medium,Neutral
m,121.82735,182.90388,563.43782,441.61047,121.82735,176.68269,563.43782,58.61547,470.19839,35.57437,56.96568,75.93536,40.360992,14.15264,1034577423.18879,547.4097,623.44367,80.7935,6.30704,4.97431,35.76484,11.18249,-226.46298,High,Positive
